Type,Size,Wrench Size,Thread,Thread Type,Grade,Standard,Material,Fastenal #
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M4-0.7 x 10mm,7mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138522](https://www.fastenal.com/product/details/1138522)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M4-0.7 x 16mm,7mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138524](https://www.fastenal.com/product/details/1138524)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M4-0.7 x 20mm,7mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138525](https://www.fastenal.com/product/details/1138525)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M4-0.7 x 25mm,7mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138526](https://www.fastenal.com/product/details/1138526)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M4-0.7 x 30mm,7mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138527](https://www.fastenal.com/product/details/1138527)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M6-1.0 x 16mm,10mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138564](https://www.fastenal.com/product/details/1138564)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M6-1.0 x 20mm,10mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138565](https://www.fastenal.com/product/details/1138565)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M6-1.0 x 30mm,10mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138567](https://www.fastenal.com/product/details/1138567)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M6-1.0 x 40mm,10mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138569](https://www.fastenal.com/product/details/1138569)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M6-1.0 x 50mm,10mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138571](https://www.fastenal.com/product/details/1138571)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M8-1.25 x 25mm,13mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138616](https://www.fastenal.com/product/details/1138616)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M8-1.25 x 30mm,13mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138617](https://www.fastenal.com/product/details/1138617)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M8-1.25 x 40mm,13mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138619](https://www.fastenal.com/product/details/1138619)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M8-1.25 x 50mm,13mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138621](https://www.fastenal.com/product/details/1138621)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M8-1.25 x 60mm,13mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138623](https://www.fastenal.com/product/details/1138623)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M10-1.5 x 30mm,17mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138656](https://www.fastenal.com/product/details/1138656)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M10-1.5 x 40mm,17mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138658](https://www.fastenal.com/product/details/1138658)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M10-1.5 x 50mm,17mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138660](https://www.fastenal.com/product/details/1138660)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M10-1.5 x 60mm,17mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138662](https://www.fastenal.com/product/details/1138662)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M10-1.5 x 70mm,17mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138664](https://www.fastenal.com/product/details/1138664)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M12-1.75 x 30mm,19mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138706](https://www.fastenal.com/product/details/1138706)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M12-1.75 x 40mm,19mm,Coarse,Full Thread,Class 8.8,DIN 933,"Steel, Zinc Finish",[1138708](https://www.fastenal.com/product/details/1138708)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M12-1.75 x 50mm,19mm,Coarse,Partial Thread,Class 8.8,DIN 931,"Steel, Zinc Finish",[1138710](https://www.fastenal.com/product/details/1138710)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M12-1.75 x 60mm,19mm,Coarse,Partial Thread,Class 8.9,DIN 932,"Steel, Zinc Finish",[1138712](https://www.fastenal.com/product/details/1138712)
"![Hex Head Bolt](/assets/structures/hex_bolt.svg){: style=""height:50px;width:50px""}",M12-1.75 x 70mm,19mm,Coarse,Partial Thread,Class 8.10,DIN 933,"Steel, Zinc Finish",[1138714](https://www.fastenal.com/product/details/1138714)