Type,Size,Drive Size,Thread,Thread Type,Grade,Standard,Material,Fastenal #
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M4-0.7 x 10mm,3mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139524](https://www.fastenal.com/product/details/1139524)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M4-0.7 x 16mm,3mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139526](https://www.fastenal.com/product/details/1139526)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M4-0.7 x 20mm,3mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139527](https://www.fastenal.com/product/details/1139527)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M4-0.7 x 25mm,3mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139528](https://www.fastenal.com/product/details/1139528)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M4-0.7 x 30mm,3mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139529](https://www.fastenal.com/product/details/1139529)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M6-1.0 x 16mm,5mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139566](https://www.fastenal.com/product/details/1139566)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M6-1.0 x 20mm,5mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139567](https://www.fastenal.com/product/details/1139567)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M6-1.0 x 30mm,5mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139569](https://www.fastenal.com/product/details/1139569)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M6-1.0 x 40mm,5mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139571](https://www.fastenal.com/product/details/1139571)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M6-1.0 x 50mm,5mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139573](https://www.fastenal.com/product/details/1139573)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M8-1.25 x 25mm,6mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139588](https://www.fastenal.com/product/details/1139588)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M8-1.25 x 30mm,6mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139589](https://www.fastenal.com/product/details/1139589)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M8-1.25 x 40mm,6mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139591](https://www.fastenal.com/product/details/1139591)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M8-1.25 x 50mm,6mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139593](https://www.fastenal.com/product/details/1139593)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M8-1.25 x 60mm,6mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139595](https://www.fastenal.com/product/details/1139595)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M10-1.5 x 30mm,8mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139619](https://www.fastenal.com/product/details/1139619)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M10-1.5 x 40mm,8mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139621](https://www.fastenal.com/product/details/1139621)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M10-1.5 x 50mm,8mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139623](https://www.fastenal.com/product/details/1139623)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M10-1.5 x 60mm,8mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139625](https://www.fastenal.com/product/details/1139625)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M10-1.5 x 70mm,8mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139626](https://www.fastenal.com/product/details/1139626)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M12-1.75 x 30mm,10mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139654](https://www.fastenal.com/product/details/1139654)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M12-1.75 x 40mm,10mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139656](https://www.fastenal.com/product/details/1139656)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M12-1.75 x 50mm,10mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139658](https://www.fastenal.com/product/details/1139658)
"![Socket](/assets/structures/socket.svg){: style=""height:50px;width:50px""}",M12-1.75 x 60mm,10mm,Coarse,Full Thread,Class 12.9,DIN 912,"Alloy Steel, Black Oxide",[1139660](https://www.fastenal.com/product/details/1139660)